"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-04","7.83"," 2259"," 2259","0.05","0.0",,"70","79","61","  170","  160","14.1","16.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-05","10.07"," 1236"," 1233","0.13","0.0",,"72","78","66","  150","  150","29.1","33.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-06","21.47"," 1246"," 1053","0.00","0.0",,"75","86","63","  190","  190","32.0","40.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-07","21.25"," 1158"," 1455","0.00","0.0",,"80","88","72","  190","  190","28.0","34.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-08","18.34"," 1559"," 1554","0.00","0.0",,"79","88","70","  170","  170","28.0","34.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-09","12.30"," 0139"," 0138","0.02","0.0",,"70","77","62","  200","  200","29.1","38.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-10","11.18"," 2319"," 2315","0.00","0.0",,"73","85","60","  170","  170","23.0","28.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-11","20.80"," 1141"," 1015","0.00","0.0",,"83","91","75","  190","  180","31.1","38.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-12","17.00"," 0042"," 0042","0.00","0.0",,"84","97","71","  180","  180","30.0","34.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-13","11.63"," 0900"," 0844","0.00","0.0",,"71","80","61","   20","   20","21.9","28.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-14","8.05"," 0807"," 0807","0.00","0.0",,"66","80","52","  100","   90","17.0","21.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-15","13.87"," 1438"," 1437","0.00","0.0",,"73","86","59","  150","  140","25.1","30.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-16","19.69"," 1752"," 1614","0.00","0.0",,"81","88","74","  170","  170","28.0","33.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-17","22.59"," 1255"," 1243","0.00","0.0",,"81","90","72","  180","  160","36.0","42.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-18","16.11"," 0128"," 0244","0.89","0.0",,"78","89","66","  180","  180","28.0","34.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-19","9.17"," 2326"," 2325","0.80","0.0",,"66","70","61","  320","  310","21.9","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-20","4.70"," 0027"," 0022","0.00","0.0",,"71","81","61","  320","  330","16.1","17.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-21","4.47"," 1819"," 2225","0.00","0.0",,"76","88","63","  180","  160","13.0","15.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-22","13.65"," 1723"," 1722","0.00","0.0",,"81","94","68","  180","  180","23.0","28.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-23","16.78"," 1808"," 1705","0.00","0.0",,"83","94","72","  170","  180","25.1","31.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-24","18.79"," 2320"," 2302","0.00","0.0",,"85","95","75","  180","  170","31.1","36.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-25","17.22"," 0008"," 0005","0.00","0.0",,"85","93","76","  190","  190","28.0","36.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-26","14.99"," 1217"," 2019","0.10","0.0",,"82","89","75","  180","  170","29.1","36.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-27","12.97"," 1601"," 1600","0.23","0.0",,"82","95","69","  270","  280","40.9","55.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-28","6.04"," 1619"," 1440","0.00","0.0",,"80","91","68","   30","   20","13.0","17.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-29","7.61"," 1824"," 1613","0.00","0.0",,"81","93","69","  150","  160","15.0","17.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-30","12.30"," 1623"," 1205","0.00","0.0",,"85","95","75","  160","  180","19.9","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-31","11.63"," 1824"," 1719","0.00","0.0",,"84","94","74","  150","  160","19.9","23.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-01","11.63"," 1702"," 1540","0.00","0.0",,"85","94","75","  180","  150","19.9","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-02","9.40"," 0821"," 1206","0.00","0.0",,"84","92","75","  190","  180","17.9","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-03","7.38"," 1110"," 1124","0.81","0.0",,"77","80","73","  210","  210","15.0","17.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-04","6.26"," 1823"," 1821","0.60","0.0",,"77","83","71","   20","   30","16.1","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-05","12.30"," 1002"," 0904","0.00","0.0",,"75","84","65","   20","   20","21.0","25.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-06","7.38"," 0715"," 0715","0.00","0.0",,"71","82","59","   90","  100","15.0","17.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-07","7.16"," 0812"," 1527","0.00","0.0",,"72","84","60","  130","  100","15.0","17.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-08","9.40"," 1655"," 1220","0.00","0.0",,"76","88","63","  130","  150","17.9","23.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-09","11.41"," 1607"," 1606","0.87","0.0",,"81","88","73","  150","  150","31.1","36.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-10","10.29"," 1417"," 1416","1.81","0.0",,"80","87","72","  170","  170","32.0","40.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-11","9.62"," 0802"," 0747","0.18","0.0",,"79","85","73","  150","  150","17.9","23.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-12","10.07"," 1139"," 1138","0.48","0.0",,"82","90","74","  220","  220","17.0","31.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-13","15.21"," 1705"," 1639","0.00","0.0",,"82","90","74","  190","  190","28.0","31.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-14","13.20"," 0007"," 0141","0.48","0.0",,"80","90","70","  180","  190","25.1","31.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-15","8.72"," 1427"," 1425","0.24","0.0",,"78","86","70","  190","  220","21.9","29.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-06-16","15.66"," 0905"," 0436","0.00","0.0",,"62","91","76","  200","  180","23.0","28.0"
